model,checkpoint,magnitude,direction,dx,dy,condition,bbox_mAP_25,bbox_mAP_50,bbox_mAP_75,bbox_mAP_50_tiny,bbox_mAP_50_tiny1,bbox_mAP_50_tiny2,bbox_mAP_50_tiny3,bbox_mAP_50_small,config,delta_bbox_mAP_25,relative_drop_pct_bbox_mAP_25,delta_bbox_mAP_50,relative_drop_pct_bbox_mAP_50,delta_bbox_mAP_75,relative_drop_pct_bbox_mAP_75,delta_bbox_mAP_50_tiny,relative_drop_pct_bbox_mAP_50_tiny,delta_bbox_mAP_50_tiny1,relative_drop_pct_bbox_mAP_50_tiny1,delta_bbox_mAP_50_tiny2,relative_drop_pct_bbox_mAP_50_tiny2,delta_bbox_mAP_50_tiny3,relative_drop_pct_bbox_mAP_50_tiny3,delta_bbox_mAP_50_small,relative_drop_pct_bbox_mAP_50_small,checkpoint_dx0_delta_bbox_mAP_25,checkpoint_dx0_delta_bbox_mAP_50,checkpoint_dx0_delta_bbox_mAP_75
official_weight,/hy-tmp/CCRDet_assets/weights/weight_rgbt.pth,2,left,-2,0,shift_2px_left,0.5791,0.3783,0.0269,0.3912,0.1632,0.29,0.4506,0.2882,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.005600000000000049,0.9577561142466307,-0.05779999999999996,13.253840862187563,-0.019299999999999998,41.77489177489177,-0.06020000000000003,13.336287106778915,-0.08889999999999998,35.263784212614034,-0.054900000000000004,15.91765729196869,-0.05710000000000004,11.246799290919842,-0.017100000000000004,5.601048149361286,-0.005600000000000049,-0.05779999999999996,-0.019299999999999998
official_weight,/root/CCRDet/weights/weight_rgbt.pth,1,left,-1,0,shift_1px_left,0.5825,0.4406,0.0551,0.4534,0.1868,0.3562,0.5034,0.3041,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.0021999999999999797,0.3762613305968838,0.004500000000000004,-1.031873423526715,0.008900000000000005,-19.264069264069274,0.0020000000000000018,-0.44306601683650904,-0.0653,25.902419674732247,0.011300000000000032,-3.2763119744853677,-0.0043000000000000815,0.846956864289951,-0.0012000000000000344,0.39305601048150485,-0.0021999999999999797,0.004500000000000004,0.008900000000000005
official_weight,/hy-tmp/CCRDet_assets/weights/weight_rgbt.pth,0,none,0,0,shift_0px_none,0.5847,0.4361,0.0462,0.4514,0.2521,0.3449,0.5077,0.3053,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
official_weight,/root/CCRDet/weights/weight_rgbt.pth,1,right,1,0,shift_1px_right,0.5789,0.3638,0.0161,0.3777,0.1588,0.266,0.446,0.2935,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.005800000000000027,0.9919616897554348,-0.07229999999999998,16.57876633799587,-0.0301,65.15151515151516,-0.07370000000000004,16.326982720425352,-0.0933,37.00912336374454,-0.07889999999999997,22.876195998840235,-0.06170000000000003,12.152846168997444,-0.011800000000000033,3.865050769734698,-0.005800000000000027,-0.07229999999999998,-0.0301
official_weight,/hy-tmp/CCRDet_assets/weights/weight_rgbt.pth,2,right,2,0,shift_2px_right,0.5622,0.2326,0.0045,0.2374,0.0205,0.1214,0.3046,0.2859,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.022499999999999964,3.8481272447408865,-0.2035,46.66360926393029,-0.0417,90.25974025974025,-0.21400000000000002,47.40806380150643,-0.2316,91.86830622768743,-0.22349999999999998,64.80139170774137,-0.20310000000000006,40.00393933425252,-0.01940000000000003,6.3544055027841555,-0.022499999999999964,-0.2035,-0.0417
seed1001937037,/hy-tmp/CCRDet_assets/work_dirs/baseline_seed_1001937037/epoch_9.pth,2,left,-2,0,shift_2px_left,0.5836,0.3897,0.0283,0.4032,0.1424,0.2948,0.4591,0.2955,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.0044999999999999485,0.7651759904778013,-0.041800000000000004,9.687137891077636,-0.013600000000000001,32.4582338902148,-0.04370000000000002,9.77847393152831,-0.12160000000000001,46.06060606060606,-0.03689999999999999,11.124510099487486,-0.04109999999999997,8.216713314674125,-0.005099999999999993,1.6966067864271437,-0.0044999999999999485,-0.041800000000000004,-0.013600000000000001
seed1001937037,/hy-tmp/CCRDet_assets/work_dirs/baseline_seed_1001937037/epoch_9.pth,1,left,-1,0,shift_1px_left,0.5837,0.4443,0.0534,0.4595,0.3639,0.3472,0.5088,0.3047,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.0043999999999999595,0.7481720795782962,0.012799999999999978,-2.96639629200463,0.011500000000000003,-27.446300715990464,0.0126,-2.8194226896397403,0.09989999999999999,-37.840909090909086,0.015500000000000014,-4.672897196261686,0.008600000000000052,-1.7193122750899743,0.004100000000000048,-1.3639387890885057,-0.0043999999999999595,0.012799999999999978,0.011500000000000003
seed1001937037,/hy-tmp/CCRDet_assets/work_dirs/baseline_seed_1001937037/epoch_9.pth,0,none,0,0,shift_0px_none,0.5881,0.4315,0.0419,0.4469,0.264,0.3317,0.5002,0.3006,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed1001937037,/hy-tmp/CCRDet_assets/work_dirs/baseline_seed_1001937037/epoch_9.pth,1,right,1,0,shift_1px_right,0.5862,0.3605,0.0157,0.3741,0.2359,0.2553,0.4391,0.2867,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.0018999999999999018,0.32307430709061413,-0.07100000000000001,16.45422943221321,-0.0262,62.52983293556086,-0.07280000000000003,16.28999776236295,-0.028100000000000014,10.643939393939398,-0.07639999999999997,23.032861018993056,-0.06109999999999999,12.21511395441823,-0.013899999999999968,4.624085163007308,-0.0018999999999999018,-0.07100000000000001,-0.0262
seed1001937037,/hy-tmp/CCRDet_assets/work_dirs/baseline_seed_1001937037/epoch_9.pth,2,right,2,0,shift_2px_right,0.5686,0.2241,0.0031,0.2283,0.0235,0.1147,0.2905,0.2674,/root/CCRDet/configs_local/gfl_ccrdet_fpn_1x_rgbtdroneperson_local.py,-0.019499999999999962,3.315762625403837,-0.2074,48.0648899188876,-0.0388,92.60143198090692,-0.21860000000000002,48.91474602819423,-0.24050000000000002,91.09848484848484,-0.217,65.42056074766354,-0.2097,41.92323070771691,-0.03319999999999995,11.044577511643364,-0.019499999999999962,-0.2074,-0.0388
