dx,dy,mean_zncc,median_zncc,bootstrap_winner_frequency
-2,-2,0.0682831364042962,0.06611301004886627,0.0
-2,-1,0.06982316613652075,0.06815845146775246,0.0
-2,0,0.07126728402629443,0.06977217271924019,0.0
-2,1,0.07250878281716723,0.07070787996053696,0.0
-2,2,0.07343760823867064,0.07177813723683357,1.0
-1,-2,0.06702542882539779,0.0649946928024292,0.0
-1,-1,0.06859988141534684,0.06675714254379272,0.0
-1,0,0.06995938070166241,0.06806585192680359,0.0
-1,1,0.07111841082586857,0.06942742317914963,0.0
-1,2,0.0720323679503807,0.07021043822169304,0.0
0,-2,0.06553970129172378,0.06317777559161186,0.0
0,-1,0.0671269323278451,0.06527797877788544,0.0
0,0,0.06840382776408141,0.06672244891524315,0.0
0,1,0.06949506109066088,0.06755740195512772,0.0
0,2,0.0704076650722917,0.06879424676299095,0.0
1,-2,0.06381404749228833,0.06156771071255207,0.0
1,-1,0.06531538956813314,0.06302264332771301,0.0
1,0,0.06650237056816784,0.06480973586440086,0.0
1,1,0.06758975397049097,0.06602440401911736,0.0
1,2,0.06852609284398717,0.06665265187621117,0.0
2,-2,0.0617656881205299,0.05932505987584591,0.0
2,-1,0.06313103988702894,0.06065329350531101,0.0
2,0,0.06428636419256079,0.06230686418712139,0.0
2,1,0.06542581298040204,0.06313107907772064,0.0
2,2,0.06639472355819746,0.06398515775799751,0.0
